"Features","Importance","Gene_Symbol"
"215136_s_at",0.00101778573587403,"EXOSC8"
"222174_at",0.00100787822999639,NA
"244789_at",0.00100539106126485,"TEX36"
"203077_s_at",0.00100515259272246,"SMAD2"
"200833_s_at",0.000999997040379065,"RAP1B"
"227510_x_at",0.000998000158341399,NA
"222876_s_at",0.000997682620517248,"ADAP2"
"212386_at",0.000996081897065781,"TCF4"
"1562788_at",0.000984785063209956,"LINC01342"
"231405_at",0.000980594893665888,"SPACA7"
"40569_at",0.000975150435212722,"MZF1"
"205613_at",0.000973435738755183,"SYT17"
"225471_s_at",0.000972203322743992,"AKT2"
"225340_s_at",0.000966466841002841,"CAPRIN1"
"240052_at",0.00096289957737674,"ITPR1"
"228430_at",0.000959152483772523,"BOLA3-DT"
"201139_s_at",0.000958717362310167,"SSB"
"204117_at",0.000950054834328158,"PREP"
"218866_s_at",0.000948812653649256,"POLR3K"
"212969_x_at",0.000942784490833839,"EML3"
"220362_at",0.00094002586668714,"PSORS1C1"
"242849_at",0.000938505063704431,NA
"218654_s_at",0.000935697420307852,"MRPS33"
"213121_at",0.000935198510825601,"SNRNP70"
"204299_at",0.000933799863351646,"SRSF10"
"202578_s_at",0.000932632319355757,"DDX19A"
"207200_at",0.000931677717190681,"OTC"
"219332_at",0.000931402329506668,"MICALL2"
"201640_x_at",0.000927073181604446,"CLPTM1"
"1570336_at",0.000919386344136767,"BDH1"
"221728_x_at",0.00091254947882074,"XIST"
"236658_at",0.000901111386762391,"RPS6KA2-AS1"
"205484_at",0.000900196608474287,"SIT1"
"212085_at",0.000898476258235979,"SLC25A6"
"206400_at",0.000895920259868687,NA
"225196_s_at",0.000888198679530241,"MRPS26"
"208913_at",0.00087858237846234,"GGA2"
"231155_at",0.000873930903302035,"DEFB119"
"1560962_at",0.000859557510255002,NA
"235529_x_at",0.000856146751705157,"SAMHD1"
"203095_at",0.000855639362208933,"MTIF2"
"226347_at",0.00084980813236822,NA
"1557217_a_at",0.000848240743539129,"FANCB"
"216597_at",0.000841987755532509,NA
"234491_s_at",0.000840780185817756,"SAV1"
"241433_at",0.000840435813081838,"RCOR3"
"224905_at",0.000838982298066176,"WDR26"
"239346_at",0.000837310263298692,"GTF2H3"
"212192_at",0.000836976259551925,"KCTD12"
"1555904_at",0.000834961911043387,"FRY"
"201416_at",0.000833620214515358,"SOX4"
"223185_s_at",0.000831976949082691,"BHLHE41"
"229482_at",0.000829299018279925,"DDX51"
"213104_at",0.000827108250087025,"TSR3"
"225738_at",0.000823480167338074,"RAPGEF1"
"228302_x_at",0.000821001939224315,"CAMK2N1"
"1562095_at",0.000817249379994982,"SLMAP"
"218289_s_at",0.000808830782411077,"UBA5"
"215427_s_at",0.000806419364682953,"ZCCHC14"
"203147_s_at",0.000804837624375576,"TRIM14"
"228025_s_at",0.000802566867452111,"PPP2R2C"
"36907_at",0.000799327040254465,"MVK"
"222437_s_at",0.000798336838471843,NA
"213539_at",0.000791056048189107,"CD3D"
"236323_at",0.000786494554854424,"NECTIN3-AS1"
"216981_x_at",0.000778463481037692,"SPN"
"222806_s_at",0.000775197102664484,"EMSY"
"229172_at",0.000768891513872262,"HSPA12B"
"225515_s_at",0.000763721279641151,NA
"222750_s_at",0.000759324947272801,"SRD5A3"
"225519_at",0.000753249079387826,"PPP4R2"
"1560563_at",0.000752385323288032,"LOC101929552"
"215008_at",0.000751988290940266,"TLL2"
"218539_at",0.00074790425849843,"FBXO34"
"218187_s_at",0.000743999285957518,"C8orf33"
"205988_at",0.000730009498139739,"CD84"
"209379_s_at",0.000728847975391134,"CCSER2"
"225433_at",0.000722512413300851,"GTF2A1"
"208327_at",0.000719777239570037,"CYP2A13"
"213326_at",0.000716489662660369,"VAMP1"
"216956_s_at",0.000716107874879279,"ITGA2B"
"237411_at",0.000703633211757239,"ADAMTS6"
"235459_at",0.00069831007724487,"RNF41"
"244497_at",0.000694962502584517,"PYCARD-AS1"
"233013_x_at",0.000694402307358097,"WAC-AS1"
"217298_at",0.000687188736718775,"RPS14"
"1563325_at",0.000679825635097492,NA
"243251_at",0.000674942204714827,"LOC101929719"
"1554374_at",0.000667810434883421,NA
"222073_at",0.00066491631664045,"COL4A3"
"214078_at",0.000661166179075493,"PAK3"
"223135_s_at",0.000660266245736422,"BBX"
"229531_at",0.000657967975446181,NA
"228411_at",0.000657302879438473,"PARD3B"
"212071_s_at",0.000654784371447796,"SPTBN1"
"220675_s_at",0.000654111534811885,"PNPLA3"
"237186_at",0.000651312742198078,"KCNJ5"
"214470_at",0.000647071950908985,"KLRB1"
"222169_x_at",0.000646764340670007,"SH2D3A"
"222243_s_at",0.000644670376376879,"TOB2"
"206518_s_at",0.000638852486101366,"RGS9"
"228520_s_at",0.000634657115737898,"APLP2"
"212705_x_at",0.000632341120500535,"PNPLA2"
"225857_s_at",0.000630869259879247,"SNHG17"
"226124_at",0.000622505906347345,"ZFP90"
"1558493_at",0.000618104039604393,"CST13P"
"206316_s_at",0.000614696326098508,"KNTC1"
"223888_s_at",0.000607574562891448,"LARS1"
"1570517_at",0.000606245510405046,"FHL5"
"217258_x_at",0.00060393073575698,NA
"238894_at",0.000603302688577111,NA
"219065_s_at",0.00060268923956162,NA
"214858_at",0.00059608244530696,"GPC1-AS1"
"1560717_at",0.000593762888489596,"LINC02250"
"225977_at",0.000593480661619919,"PCDH18"
"222584_at",0.000593012069671764,"MSTO1"
"1553651_at",0.000589781473875626,"C18orf54"
"1558431_at",0.00058931734252016,"NHLRC4"
"1556778_at",0.000589170148770812,NA
"213642_at",0.000586475070085659,"RPL27"
"238043_at",0.000586212937185167,"ARID1B"
"241535_at",0.000585748014572768,"SNTG2-AS1"
"237740_at",0.000585508258069252,NA
"221804_s_at",0.000583765153671069,NA
"210051_at",0.000582243176056333,"RAPGEF3"
"221349_at",0.000580000702251526,"VPREB1"
"243943_x_at",0.000579487283026453,"C6orf52"
"225452_at",0.000578156789715513,"MED1"
"222994_at",0.00057415038213395,"PRDX5"
"219279_at",0.000566321163924668,"DOCK10"
"226140_s_at",0.000560701948158256,"OTUD1"
"200971_s_at",0.000556627531181997,"SERP1"
"202391_at",0.000555722838578251,"BASP1"
"208374_s_at",0.000554769271929573,"CAPZA1"
"230584_at",0.000553665977745685,NA
"56829_at",0.000546884459058854,"TRAPPC9"
"221762_s_at",0.000545268026832494,"PCIF1"
"228869_at",0.000543811429223582,"SNX20"
"212079_s_at",0.00054194711301592,"KMT2A"
"210763_x_at",0.000540207318557115,"NCR3"
"214833_at",0.000538032803661342,"TMEM63A"
"1555523_a_at",0.000536790515146582,"FYCO1"
